school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,total_alcohol,parental_education,academic_trajectory
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,0,True,False,False,False,True,True,False,False,4,3,4,1,1,3,4,0,11,11,1.0,8,Improving
GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1,2,0,False,True,False,False,False,True,True,False,5,3,3,1,1,3,2,9,11,11,1.0,2,Improving
GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,1,2,0,True,False,False,False,True,True,True,False,4,3,2,2,3,3,6,12,13,12,2.7142857142857144,2,Consistent Performer
GP,F,15,U,GT3,T,4,2,health,services,home,mother,1,3,0,False,True,False,True,True,True,True,True,3,2,2,1,1,5,0,14,14,14,1.0,6,Consistent Performer
GP,F,16,U,GT3,T,3,3,other,other,home,father,1,2,0,False,True,False,False,True,True,False,False,4,3,2,1,2,5,0,11,13,13,1.7142857142857142,6,Consistent Performer
GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,False,True,False,True,True,True,True,False,5,4,2,1,2,5,6,12,12,13,1.7142857142857142,7,Consistent Performer
GP,M,16,U,LE3,T,2,2,other,other,home,mother,1,2,0,False,False,False,False,True,True,True,False,4,4,4,1,1,3,0,13,12,13,1.0,4,Consistent Performer
GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,True,True,False,False,True,True,False,False,4,1,4,1,1,1,2,10,13,13,1.0,8,Consistent Performer
GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,0,False,True,False,False,True,True,True,False,4,2,2,1,1,1,0,15,16,17,1.0,5,Consistent Performer
GP,M,15,U,GT3,T,3,4,other,other,home,mother,1,2,0,False,True,False,True,True,True,True,False,5,5,1,1,1,5,0,12,12,13,1.0,7,Consistent Performer
GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,False,True,False,False,True,True,True,False,3,3,3,1,2,2,2,14,14,14,1.7142857142857142,8,Consistent Performer
GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3,3,0,False,True,False,True,True,True,True,False,5,2,2,1,1,4,0,10,12,13,1.0,3,Consistent Performer
GP,M,15,U,LE3,T,4,4,health,services,course,father,1,1,0,False,True,False,True,True,True,True,False,4,3,3,1,3,5,0,12,13,12,2.4285714285714284,8,Consistent Performer
GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,0,False,True,False,False,True,True,True,False,5,4,3,1,2,3,0,12,12,13,1.7142857142857142,7,Consistent Performer
